Transmitidos,Descartados,Guepardo,Elephant,Middle
1505,1495,348,741,416
1362,1638,321,622,419
1428,1572,335,680,413
1379,1621,328,635,416
1318,1682,334,569,415
1338,1662,333,589,416
1388,1612,333,643,412
1314,1686,332,572,410
1469,1531,335,722,412
1500,1500,344,739,417
1473,1527,348,711,414
1322,1678,328,576,418
1313,1687,339,562,412
1470,1530,323,733,414
1341,1659,340,582,419
1304,1696,330,558,416
1333,1667,333,587,413
1420,1580,343,661,416
1324,1676,323,584,417
1338,1662,331,591,416
1348,1652,345,587,416
1383,1617,321,644,418
1350,1650,329,610,411
1416,1584,331,671,414
1372,1628,331,626,415
1459,1541,330,719,410
1317,1683,331,569,417
1418,1582,334,671,413
1473,1527,332,723,418
1322,1678,326,586,410
,,,,
,,,,
MÉDIAS,,,,
"1383,23333333333","1616,76666666667","333,033333333333","635,433333333333","414,766666666667"
,,,,
DESVIOS,,,,
"63,7498794229195","63,7498794229195","7,30839542431586","61,5879989055936","2,68692021278732"
