Exec 1,,,,Exec 2,,,,Exec 3,,,,Exec 4,,,,Exec 5,,,,Exec 6,,,,Exec 7,,,,Exec 8,,,,Exec 9,,,,Exec 10,,,,Exec 11,,,,Exec 12,,,,Exec 13,,,,Exec 14,,,,Exec 15,,,,Exec 16,,,,Exec 17,,,,Exec 18,,,,Exec 19,,,,Exec 20,,,,Exec 21,,,,Exec 22,,,,Exec 23,,,,Exec 24,,,,Exec 25,,,,Exec 26,,,,Exec 27,,,,Exec 28,,,,Exec 29,,,,Exec 30,,,,Média Guepard,Média Elephant,Média Middle,,Desvio Guepard,Desvio Elephant,Desvio Middle
34,8,20,,42,10,27,,33,8,20,,40,10,24,,32,8,19,,33,8,21,,38,10,24,,40,10,26,,44,11,28,,39,10,25,,39,10,24,,33,8,21,,50,13,32,,34,8,21,,40,11,25,,39,10,24,,44,11,27,,36,10,23,,40,10,25,,38,10,24,,37,9,24,,40,10,24,,41,10,26,,40,10,25,,45,11,29,,32,8,20,,25,6,16,,40,10,25,,44,11,27,,41,10,25,,"38,4333333333333","9,63333333333333","24,0333333333333",,"4,95972283244867","1,37673610356182","3,2745974570544"
100,25,63,,88,22,55,,78,20,50,,99,25,63,,77,20,48,,79,20,50,,100,25,63,,87,22,54,,100,25,62,,100,25,62,,85,22,53,,100,25,62,,97,24,60,,100,25,63,,100,25,63,,99,25,63,,101,25,63,,83,21,52,,86,22,54,,84,21,53,,100,25,62,,100,25,63,,100,25,63,,100,26,63,,100,25,63,,100,25,63,,72,18,45,,100,25,63,,90,23,57,,86,22,54,,"93,0333333333333","23,4333333333333","58,4",,"9,03816938030741","2,14449308105963","5,66051051675949"
107,26,67,,106,27,67,,106,27,67,,106,27,67,,107,26,67,,107,26,67,,107,27,66,,107,26,67,,106,27,67,,106,27,67,,106,27,67,,106,27,67,,106,27,67,,106,27,67,,106,27,67,,107,26,67,,107,27,66,,106,27,67,,107,27,66,,107,27,66,,106,27,67,,107,27,66,,107,26,67,,107,26,67,,107,27,66,,107,27,66,,106,27,67,,106,27,67,,106,27,67,,107,26,67,,"106,5","26,7333333333333","66,7666666666667",,"0,508547627715608","0,449776445108804","0,430183067152076"
106,26,68,,106,27,67,,106,26,68,,107,26,67,,108,26,66,,106,27,67,,106,27,67,,106,26,68,,106,27,67,,106,27,67,,107,27,66,,106,27,67,,106,28,66,,107,27,66,,106,27,67,,106,27,67,,107,27,66,,106,26,68,,107,26,67,,106,28,66,,106,27,67,,107,27,66,,108,26,66,,108,26,66,,107,27,66,,108,26,66,,106,26,68,,106,27,67,,106,27,67,,108,26,66,,"106,566666666667","26,6666666666667","66,7666666666667",,"0,773854362727667","0,606478434863123","0,727932041794606"
106,26,68,,107,27,66,,107,26,67,,107,27,66,,107,26,67,,106,28,66,,107,26,67,,106,27,67,,106,28,66,,106,28,66,,108,26,66,,106,28,66,,106,27,67,,107,26,67,,107,26,67,,107,27,66,,106,28,66,,106,26,68,,106,27,67,,106,28,66,,106,28,66,,106,28,66,,107,26,67,,107,26,67,,106,28,66,,107,27,66,,106,26,68,,106,28,66,,107,26,67,,107,27,66,,"106,5","26,9333333333333","66,5666666666667",,"0,572351471472339","0,86834497091061","0,678910553924363"
106,26,68,,108,26,66,,107,27,66,,106,28,66,,106,26,68,,107,27,66,,107,26,67,,106,27,67,,106,28,66,,106,28,66,,107,26,67,,106,27,67,,106,27,67,,106,27,67,,108,26,66,,108,26,66,,106,27,67,,107,26,67,,107,27,66,,106,28,66,,106,27,67,,106,28,66,,107,26,67,,106,26,68,,106,28,66,,106,27,67,,107,26,67,,107,27,66,,107,26,67,,106,28,66,,"106,533333333333","26,8333333333333","66,6333333333333",,"0,68144538746106","0,791477593876918","0,668675135459372"
107,26,67,,108,26,66,,106,28,66,,106,28,66,,106,26,68,,107,26,67,,106,27,67,,107,26,67,,106,27,67,,106,28,66,,106,27,67,,106,26,68,,106,28,66,,106,28,66,,108,26,66,,107,27,66,,106,26,68,,107,26,67,,107,27,66,,106,27,67,,106,26,68,,106,27,67,,108,26,66,,106,26,68,,107,27,66,,106,26,68,,107,26,67,,107,26,67,,107,26,67,,106,28,66,,"106,533333333333","26,6666666666667","66,8",,"0,68144538746106","0,802295557085754","0,761124395107387"
107,26,67,,108,26,66,,106,28,66,,106,28,66,,106,26,68,,106,26,68,,106,28,66,,108,26,66,,106,26,68,,106,28,66,,106,28,66,,106,27,67,,106,28,66,,106,28,66,,107,27,66,,106,28,66,,106,26,68,,107,26,67,,107,27,66,,106,26,68,,106,27,67,,106,26,68,,107,27,66,,107,26,67,,107,26,67,,106,26,68,,106,27,67,,106,26,68,,107,27,66,,106,28,66,,"106,4","26,8333333333333","66,7666666666667",,"0,621455466265865","0,874281314047117","0,858359836662575"
106,26,68,,107,27,66,,106,27,67,,106,28,66,,107,26,67,,107,26,67,,106,28,66,,108,26,66,,106,26,68,,106,28,66,,106,28,66,,106,27,67,,106,27,67,,106,28,66,,106,28,66,,106,28,66,,106,26,68,,107,27,66,,107,26,67,,106,27,67,,106,28,66,,106,26,68,,106,28,66,,107,26,67,,106,26,68,,106,27,67,,106,28,66,,106,27,67,,106,27,67,,107,27,66,,"106,3",27,"66,7",,"0,534983080621924","0,8304547985374","0,749712588607955"
106,27,67,,106,28,66,,107,26,67,,107,27,66,,107,26,67,,106,27,67,,106,27,67,,107,27,66,,106,26,68,,106,28,66,,106,27,67,,106,27,67,,107,26,67,,107,27,66,,107,27,66,,106,27,67,,106,26,68,,106,28,66,,106,26,68,,106,27,67,,106,28,66,,107,26,67,,106,27,67,,106,27,67,,106,26,68,,106,28,66,,106,28,66,,107,27,66,,106,26,68,,108,26,66,,"106,366666666667","26,8666666666667","66,7666666666667",,"0,556053416767536","0,730296743340221","0,727932041794606"
68,39,93,,59,39,96,,70,37,93,,64,38,96,,73,36,91,,81,34,85,,64,38,97,,59,39,95,,58,38,96,,63,39,95,,64,38,96,,67,39,94,,54,38,95,,68,37,95,,61,38,95,,60,38,96,,57,38,97,,64,39,95,,62,38,97,,63,38,97,,67,39,94,,64,38,96,,58,38,96,,62,39,96,,57,38,97,,67,39,94,,77,36,87,,61,38,95,,57,38,96,,63,38,96,,"63,7333333333333","37,9666666666667","94,7",,"6,00536158912117","1,09806517403876","2,74364469399676"
15,50,122,,6,50,125,,16,49,123,,10,50,125,,20,48,119,,29,45,114,,11,50,125,,6,50,125,,5,51,125,,10,50,125,,11,50,125,,14,50,123,,0,50,125,,14,49,125,,7,50,125,,7,50,124,,4,50,125,,11,50,125,,9,50,126,,10,51,126,,14,50,124,,10,50,126,,5,50,125,,9,50,125,,4,50,125,,14,50,123,,24,47,117,,7,50,125,,4,50,125,,9,50,125,,"10,5","49,6666666666667","123,9",,"6,15181498309295","1,15470053837925","2,69546234278636"
0,50,125,,0,49,121,,0,50,126,,0,50,123,,0,50,125,,0,50,126,,0,50,124,,0,48,121,,0,49,119,,0,49,124,,0,50,123,,0,50,125,,0,46,116,,0,50,125,,0,48,122,,0,48,120,,0,47,120,,0,50,123,,0,49,123,,0,50,124,,0,50,126,,0,49,124,,0,48,119,,0,49,123,,0,48,119,,0,50,125,,0,50,125,,0,48,121,,0,48,118,,0,49,123,,0,"49,0666666666667","122,6",,0,"1,08065539926196","2,64705431597543"
0,47,115,,0,45,112,,0,46,117,,0,46,115,,0,46,116,,0,46,117,,0,47,116,,0,45,111,,0,45,112,,0,46,114,,0,46,115,,0,46,116,,0,43,106,,0,46,117,,0,45,112,,0,45,111,,0,44,110,,0,46,115,,0,45,115,,0,46,116,,0,47,116,,0,46,115,,0,44,111,,0,46,115,,0,44,110,,0,47,115,,0,47,116,,0,46,112,,0,44,110,,0,46,113,,0,"45,6","113,7",,0,"1,03723771092528","2,70567730063517"
0,43,107,,0,42,103,,0,44,108,,0,42,107,,0,43,106,,0,44,108,,0,43,108,,0,41,102,,0,41,103,,0,42,106,,0,43,107,,0,43,107,,0,39,98,,0,43,107,,0,42,104,,0,41,102,,0,41,102,,0,42,107,,0,43,105,,0,43,107,,0,43,108,,0,43,106,,0,41,101,,0,43,105,,0,41,102,,0,43,107,,0,43,108,,0,42,104,,0,40,102,,0,42,105,,0,"42,2","105,066666666667",,0,"1,15668968806796","2,6252531350307"
0,39,99,,0,38,94,,0,40,100,,0,40,97,,0,39,98,,0,40,99,,0,40,99,,0,37,94,,0,38,93,,0,39,96,,0,40,98,,0,39,98,,0,35,86,,0,40,99,,0,37,95,,0,37,93,,0,38,92,,0,39,97,,0,39,97,,0,39,98,,0,39,100,,0,39,98,,0,37,93,,0,39,97,,0,38,92,,0,39,98,,0,39,99,,0,38,95,,0,37,92,,0,38,96,,0,"38,5333333333333","96,0666666666667",,0,"1,19577801345871","3,16155061620885"
0,36,34,,0,34,25,,0,37,34,,0,36,29,,0,35,37,,0,36,43,,0,36,31,,0,34,24,,0,35,22,,0,35,31,,0,36,31,,0,36,33,,0,33,14,,0,36,33,,0,34,26,,0,34,28,,0,34,21,,0,36,32,,0,35,31,,0,35,29,,0,37,32,,0,36,29,,0,33,23,,0,35,29,,0,34,21,,0,36,33,,0,36,39,,0,35,28,,0,34,21,,0,35,28,,0,"35,1333333333333","29,0333333333333",,0,"1,07425461996016","6,00851885663802"
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,26,0,,0,4,0,,0,0,0,,0,26,0,,0,0,0,,0,26,0,,0,0,0,,0,26,0,,0,0,0,,0,0,0,,0,26,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,"4,46666666666667",0,,0,"9,82162755433599",0
,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
