Exec 1,,,,Exec 2,,,,Exec 3,,,,Exec 4,,,,Exec 5,,,,Exec 6,,,,Exec 7,,,,Exec 8,,,,Exec 9,,,,Exec 10,,,,Exec 11,,,,Exec 12,,,,Exec 13,,,,Exec 14,,,,Exec 15,,,,Exec 16,,,,Exec 17,,,,Exec 18,,,,Exec 19,,,,Exec 20,,,,Exec 21,,,,Exec 22,,,,Exec 23,,,,Exec 24,,,,Exec 25,,,,Exec 26,,,,Exec 27,,,,Exec 28,,,,Exec 29,,,,Exec 30,,,,Média Guepard,Média Elephant,Média Middle,,Desvio Guepard,Desvio Elephant,Desvio Middle
54,12,34,,26,21,53,,39,17,44,,37,17,46,,40,17,43,,37,17,46,,39,18,43,,43,17,40,,53,14,33,,53,13,34,,35,19,46,,47,15,38,,33,19,48,,54,12,34,,36,17,47,,38,18,44,,54,14,32,,28,21,51,,38,18,44,,52,13,35,,46,16,38,,63,21,53,,38,18,44,,40,16,44,,36,18,46,,40,18,42,,35,19,46,,41,16,43,,36,18,46,,36,19,45,,"41,5666666666667","16,9333333333333","42,7333333333333",,"8,62107815216561","2,47655674946756","5,7351507410868"
27,20,53,,0,28,72,,12,26,62,,10,25,65,,13,24,63,,10,25,65,,13,25,62,,16,24,60,,27,21,52,,26,21,53,,8,26,66,,21,22,57,,7,26,67,,27,20,53,,9,25,66,,11,26,63,,27,22,51,,2,28,70,,12,25,63,,25,21,54,,20,23,57,,0,28,72,,12,25,63,,13,24,63,,10,25,65,,13,25,62,,8,26,66,,14,24,62,,9,26,65,,9,26,65,,"13,7","24,4","61,9",,"7,94875830684829","2,25296739190018","5,77957163428762"
0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,"28,1666666666667","71,8333333333333",,0,"0,379049021789452","0,379049021789452"
0,28,72,,0,29,71,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,29,71,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,"28,2","71,8",,0,"0,406838102172486","0,406838102172486"
0,28,72,,0,29,71,,0,30,70,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,"28,2333333333333","71,7666666666667",,0,"0,504006932993731","0,504006932993731"
0,28,72,,0,29,71,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,29,71,,0,28,72,,0,28,72,,0,28,72,,0,30,70,,0,"28,3","71,7",,0,"0,534983080621924","0,534983080621924"
0,39,56,,0,40,39,,0,39,45,,0,39,42,,0,39,45,,0,39,40,,0,39,45,,0,40,41,,0,39,58,,0,39,52,,0,40,44,,0,39,46,,0,39,40,,0,39,49,,0,39,40,,0,39,42,,0,39,58,,0,39,38,,0,39,44,,0,39,52,,0,39,53,,0,39,36,,0,40,41,,0,39,43,,0,39,42,,0,40,41,,0,39,41,,0,39,42,,0,39,43,,0,40,39,,0,"39,2","44,5666666666667",,0,"0,406838102172486","5,92879201124847"
0,50,20,,0,50,4,,0,50,9,,0,50,6,,0,50,9,,0,50,4,,0,50,9,,0,50,6,,0,50,22,,0,50,16,,0,50,9,,0,50,10,,0,51,4,,0,50,13,,0,50,4,,0,50,6,,0,50,22,,0,50,2,,0,50,8,,0,50,16,,0,50,17,,0,50,0,,0,50,6,,0,50,7,,0,50,6,,0,50,6,,0,50,5,,0,50,6,,0,50,7,,0,50,4,,0,"50,0333333333333","8,76666666666667",,0,"0,182574185835055","5,81130487651578"
0,45,0,,0,29,0,,0,34,0,,0,31,0,,0,34,0,,0,29,0,,0,34,0,,0,31,0,,0,47,0,,0,41,0,,0,34,0,,0,35,0,,0,30,0,,0,38,0,,0,29,0,,0,31,0,,0,47,0,,0,27,0,,0,33,0,,0,41,0,,0,42,0,,0,25,0,,0,31,0,,0,32,0,,0,31,0,,0,31,0,,0,30,0,,0,31,0,,0,32,0,,0,29,0,,0,"33,8",0,,0,"5,78583287599681",0
0,20,0,,0,4,0,,0,9,0,,0,6,0,,0,9,0,,0,4,0,,0,9,0,,0,6,0,,0,22,0,,0,16,0,,0,9,0,,0,10,0,,0,5,0,,0,13,0,,0,4,0,,0,6,0,,0,22,0,,0,2,0,,0,8,0,,0,16,0,,0,17,0,,0,0,0,,0,6,0,,0,7,0,,0,6,0,,0,6,0,,0,5,0,,0,6,0,,0,7,0,,0,4,0,,0,"8,8",0,,0,"5,78583287599681",0
