Exec 1,,,,Exec 2,,,,Exec 3,,,,Exec 4,,,,Exec 5,,,,Exec 6,,,,Exec 7,,,,Exec 8,,,,Exec 9,,,,Exec 10,,,,Exec 11,,,,Exec 12,,,,Exec 13,,,,Exec 14,,,,Exec 15,,,,Exec 16,,,,Exec 17,,,,Exec 18,,,,Exec 19,,,,Exec 20,,,,Exec 21,,,,Exec 22,,,,Exec 23,,,,Exec 24,,,,Exec 25,,,,Exec 26,,,,Exec 27,,,,Exec 28,,,,Exec 29,,,,Exec 30,,,,Média Guepard,Média Elephant,Média Middle,,Desvio Guepard,Desvio Elephant,Desvio Middle
56,14,36,,56,14,35,,51,13,33,,58,14,37,,50,12,31,,53,13,33,,52,13,33,,45,11,28,,55,14,35,,50,13,31,,54,14,35,,51,13,32,,52,13,32,,43,11,26,,43,11,28,,55,14,36,,65,16,40,,43,11,28,,45,12,29,,47,12,30,,56,14,34,,59,15,37,,54,14,34,,56,14,35,,54,14,34,,55,14,34,,52,13,33,,58,15,36,,51,13,32,,55,14,34,,"52,4666666666667","13,2666666666667","33,0333333333333",,"5,16442294625606","1,25762044965971","3,15663868950692"
80,20,50,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,20,51,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,21,50,,79,20,51,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,20,51,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,"79,8","20,1","50,1",,"0,406838102172486","0,305128576629365","0,305128576629365"
80,20,50,,80,20,50,,80,21,49,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,"79,9666666666667","20,0666666666667","49,9666666666667",,"0,182574185835055","0,253708131702462","0,182574185835055"
80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,"79,9666666666667","20,0333333333333",50,,"0,182574185835055","0,182574185835055",0
80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,"79,9666666666667","20,0333333333333",50,,"0,182574185835055","0,182574185835055",0
80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,0,0,0
80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,0,0,0
80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,20,51,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,21,49,,80,20,50,,80,20,50,,80,20,50,,79,20,51,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,"79,9","20,0666666666667","50,0333333333333",,"0,305128576629365","0,253708131702462","0,319841914974746"
80,20,50,,79,20,51,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,20,51,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,21,49,,80,20,50,,79,21,50,,80,20,50,,79,20,51,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,"79,8","20,1333333333333","50,0666666666667",,"0,406838102172486","0,34574590364176","0,365148371670111"
80,20,50,,79,20,51,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,21,49,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,80,20,50,,79,21,50,,80,20,50,,80,20,50,,"79,9","20,1",50,,"0,305128576629365","0,305128576629365","0,262612865719445"
47,29,74,,46,30,74,,56,27,67,,47,29,74,,55,27,68,,52,28,70,,52,28,70,,60,26,64,,50,28,72,,53,27,70,,59,26,65,,58,26,66,,80,20,50,,60,26,64,,60,25,65,,47,30,73,,40,31,79,,59,26,65,,68,23,59,,62,25,63,,50,29,71,,45,30,75,,46,30,74,,49,29,72,,49,29,72,,48,29,73,,50,29,71,,42,31,77,,53,28,69,,48,29,73,,"53,0333333333333","27,6666666666667","69,3",,"8,22730245871187","2,41165751175887","5,8495505279731"
7,40,103,,6,42,102,,16,38,94,,7,40,103,,15,39,96,,12,39,99,,12,39,99,,20,36,94,,10,39,101,,13,38,99,,19,38,93,,18,37,95,,40,32,78,,20,37,93,,20,36,94,,7,42,101,,0,42,108,,19,38,93,,28,34,88,,22,37,91,,10,40,100,,5,41,104,,6,41,103,,9,41,100,,9,41,100,,8,40,102,,10,41,99,,2,42,106,,13,39,98,,8,41,101,,"13,0333333333333",39,"97,9",,"8,22730245871187","2,43537152869098","5,9732160805405"
0,42,108,,0,44,106,,0,43,107,,0,42,108,,0,44,106,,0,42,108,,0,43,107,,0,42,108,,0,43,107,,0,42,108,,0,44,106,,0,42,108,,0,43,107,,0,42,108,,0,43,107,,0,43,107,,0,42,108,,0,44,106,,0,43,107,,0,43,107,,0,43,107,,0,43,107,,0,42,108,,0,43,107,,0,43,107,,0,42,108,,0,43,107,,0,42,108,,0,43,107,,0,44,106,,0,"42,8","107,2",,0,"0,714384229659507","0,714384229659507"
0,42,108,,0,44,106,,0,42,108,,0,43,107,,0,44,106,,0,43,107,,0,43,107,,0,43,107,,0,44,106,,0,42,108,,0,43,107,,0,42,108,,0,43,107,,0,42,108,,0,43,107,,0,42,108,,0,43,107,,0,44,106,,0,43,107,,0,42,108,,0,44,106,,0,44,106,,0,42,108,,0,42,108,,0,42,108,,0,42,108,,0,42,108,,0,42,108,,0,44,106,,0,44,106,,0,"42,8333333333333","107,166666666667",,0,"0,833907847936794","0,833907847936793"
