Transmitidos,Descartados,Guepardo,Elephant,Middle
2262,738,633,859,770
2328,672,647,906,775
2340,660,654,905,781
2310,690,634,907,769
2350,650,659,909,782
2358,642,668,910,780
2265,735,634,860,771
2331,669,646,908,777
2304,696,632,900,772
2315,685,634,912,769
2257,743,650,828,779
2299,701,631,900,768
2200,800,638,791,771
2307,693,632,908,767
2230,770,636,826,768
2284,716,633,883,768
2300,700,631,897,772
2342,658,651,909,782
2266,734,650,836,780
2254,746,647,828,779
2314,686,634,910,770
2290,710,634,885,771
2287,713,633,886,768
2311,689,635,904,772
2230,770,634,825,771
2305,695,631,907,767
2354,646,661,912,781
2272,728,634,868,770
2257,743,642,838,777
2320,680,649,895,776
,,,,
Medias,,,,
"2294,73333333333","705,266666666667","640,9","880,4","773,433333333333"
,,,,
Desvios,,,,
"39,3647254429064","39,3647254429064","10,3602356516935","35,1191076785549","5,08332862257177"
